Site,Sensor,sampling.period,n
Duval,DryA,fall.2021,9960
Duval,DryB,fall.2021,9800
Duval,WetA,fall.2021,9960
Duval,WetB,fall.2021,9994
Mourachan,DryA,fall.2021,10080
Mourachan,WetA,fall.2021,7437
Mourachan,WetB,fall.2021,9960
Rinyirru,DryA,fall.2021,9912
Rinyirru,DryA,spring.2021,5898
Rinyirru,DryB,fall.2021,9977
Rinyirru,DryB,spring.2021,8778
Rinyirru,WetA,fall.2021,10040
Rinyirru,WetA,spring.2021,8346
Rinyirru,WetB,fall.2021,9960
Rinyirru,WetB,spring.2021,8645
Tarcutta,DryA,fall.2021,10080
Tarcutta,DryA,spring.2021,10080
Tarcutta,DryB,fall.2021,10080
Tarcutta,DryB,spring.2021,10080
Tarcutta,WetA,fall.2021,10080
Tarcutta,WetA,spring.2021,10080
Tarcutta,WetB,fall.2021,10080
Tarcutta,WetB,spring.2021,10080
Undara,DryA,fall.2021,10080
Undara,DryA,spring.2021,10080
Undara,DryB,fall.2021,10023
Undara,DryB,spring.2021,8718
Undara,WetA,fall.2021,10031
Undara,WetA,spring.2021,2228
Undara,WetB,fall.2021,10070
Undara,WetB,spring.2021,5658
Wambiana,DryA,fall.2021,10080
Wambiana,DryA,spring.2021,1191
Wambiana,DryB,fall.2021,10080
Wambiana,DryB,spring.2021,10021
Wambiana,WetA,fall.2021,10080
Wambiana,WetA,spring.2021,10045
Wambiana,WetB,fall.2021,10080
Wambiana,WetB,spring.2021,10070
