Taxa,Measure,Activity,EventsPerSecond,HighFreqCover,MidFreqCover,LowFreqCover,AcousticComplexity,ClusterCount,SptDensity,SH,NDSI,ADI,AEI,BI
all_all,richness,0.46 (0.14 - 0.7),0.44 (0.1 - 0.7),0.32 (0.02 - 0.58),0.67 (0.45 - 0.82),0.4 (0.09 - 0.64),0.58 (0.32 - 0.77),0.41 (0.07 - 0.7),0.68 (0.46 - 0.83),-0.04 (-0.39 - 0.34),0.5 (0.17 - 0.71),-0.05 (-0.41 - 0.32),0.12 (-0.27 - 0.48),0.43 (0.13 - 0.67)
not.birds_all,richness,0.46 (0.19 - 0.69),0.39 (0.09 - 0.67),0.59 (0.14 - 0.8),0.31 (0 - 0.6),0.2 (-0.16 - 0.52),0.22 (-0.09 - 0.55),0.15 (-0.19 - 0.48),0.53 (0.17 - 0.76),-0.07 (-0.46 - 0.3),0.32 (-0.04 - 0.63),-0.12 (-0.49 - 0.22),0.15 (-0.16 - 0.51),-0.01 (-0.36 - 0.35)
birds_day,richness,0.36 (-0.03 - 0.61),0.34 (-0.02 - 0.61),0.35 (-0.05 - 0.61),0.66 (0.51 - 0.79),0.28 (-0.06 - 0.59),0.59 (0.38 - 0.76),0.7 (0.46 - 0.84),0.64 (0.46 - 0.76),0.19 (-0.21 - 0.49),0.49 (0.15 - 0.68),0.09 (-0.34 - 0.45),-0.02 (-0.39 - 0.38),0.55 (0.25 - 0.75)
frogs_night,richness,0.38 (0.03 - 0.61),0.36 (0.06 - 0.63),0.41 (0.11 - 0.67),0.53 (0.3 - 0.73),0.08 (-0.31 - 0.44),0.3 (-0.06 - 0.6),0.21 (-0.1 - 0.58),0.56 (0.34 - 0.72),-0.24 (-0.52 - 0.09),0.52 (0.17 - 0.72),-0.22 (-0.54 - 0.04),0.28 (0.02 - 0.61),0.33 (-0.13 - 0.66)
all_all,shannon,0.55 (0.27 - 0.73),0.5 (0.22 - 0.7),0.42 (0.06 - 0.68),0.44 (0.11 - 0.65),0.46 (0.09 - 0.68),0.3 (0.01 - 0.56),0.26 (-0.05 - 0.57),0.53 (0.25 - 0.74),-0.21 (-0.58 - 0.18),0.18 (-0.21 - 0.48),-0.24 (-0.6 - 0.15),0.26 (-0.1 - 0.61),0.04 (-0.25 - 0.34)
not.birds_all,shannon,0.41 (0.11 - 0.65),0.34 (0 - 0.6),0.44 (0.05 - 0.69),0.21 (-0.18 - 0.52),0.22 (-0.21 - 0.5),0.12 (-0.25 - 0.46),0.08 (-0.28 - 0.44),0.33 (-0.08 - 0.63),-0.21 (-0.58 - 0.14),0.1 (-0.27 - 0.45),-0.17 (-0.54 - 0.18),0.16 (-0.18 - 0.53),-0.22 (-0.55 - 0.16)
birds_day,shannon,0.39 (0.07 - 0.64),0.38 (0.06 - 0.64),0.3 (-0.05 - 0.57),0.45 (0.18 - 0.65),0.43 (0.09 - 0.68),0.39 (0.1 - 0.61),0.62 (0.34 - 0.82),0.48 (0.23 - 0.69),0.08 (-0.22 - 0.42),0.46 (0.22 - 0.66),0.02 (-0.31 - 0.38),0.05 (-0.3 - 0.38),0.33 (0.02 - 0.59)
frogs_night,shannon,0.26 (-0.04 - 0.58),0.28 (-0.02 - 0.61),0.24 (-0.14 - 0.56),0.36 (0.06 - 0.6),-0.02 (-0.37 - 0.34),0.29 (-0.06 - 0.61),0.14 (-0.14 - 0.48),0.37 (0.04 - 0.62),-0.19 (-0.44 - 0.12),0.35 (-0.04 - 0.59),-0.14 (-0.47 - 0.16),0.18 (-0.1 - 0.51),0.24 (-0.19 - 0.58)
all_all,count,0.15 (-0.2 - 0.48),0.18 (-0.19 - 0.54),0.13 (-0.23 - 0.41),0.69 (0.41 - 0.83),0.2 (-0.17 - 0.52),0.71 (0.47 - 0.85),0.36 (0.01 - 0.64),0.53 (0.19 - 0.73),0.26 (-0.07 - 0.57),0.52 (0.19 - 0.73),0.23 (-0.13 - 0.57),-0.16 (-0.52 - 0.24),0.61 (0.33 - 0.79)
not.birds_all,count,0.15 (-0.23 - 0.46),0.14 (-0.27 - 0.49),0.27 (-0.06 - 0.53),0.4 (-0.01 - 0.64),0.02 (-0.38 - 0.35),0.46 (0.13 - 0.68),0.26 (-0.12 - 0.56),0.44 (0.03 - 0.68),0.35 (-0.02 - 0.66),0.59 (0.29 - 0.79),0.26 (-0.11 - 0.61),-0.2 (-0.56 - 0.23),0.37 (0.04 - 0.66)
birds_day,count,0.31 (-0.08 - 0.63),0.31 (-0.07 - 0.63),0.38 (0.01 - 0.61),0.77 (0.55 - 0.88),0.17 (-0.21 - 0.49),0.69 (0.46 - 0.83),0.68 (0.41 - 0.82),0.72 (0.5 - 0.84),0.15 (-0.28 - 0.47),0.33 (-0.02 - 0.57),0.04 (-0.41 - 0.41),0.04 (-0.35 - 0.46),0.6 (0.32 - 0.77)
frogs_night,count,0.49 (0.2 - 0.7),0.42 (0.13 - 0.69),0.43 (0.13 - 0.66),0.66 (0.41 - 0.84),0.23 (-0.16 - 0.55),0.28 (-0.07 - 0.59),0.33 (-0.03 - 0.67),0.66 (0.42 - 0.82),-0.35 (-0.63 - 0.05),0.58 (0.23 - 0.78),-0.26 (-0.55 - 0.06),0.35 (0.04 - 0.66),0.49 (0.11 - 0.75)
