Taxa,Measure,Activity,EventsPerSecond,HighFreqCover,MidFreqCover,LowFreqCover,AcousticComplexity,ClusterCount,SptDensity,SH,NDSI,ADI,AEI,BI
all_all,richness,0.41 (0.08 - 0.66),0.41 (0.07 - 0.7),0.29 (0 - 0.56),0.71 (0.54 - 0.83),0.36 (0.05 - 0.62),0.63 (0.4 - 0.8),0.43 (0.08 - 0.71),0.68 (0.48 - 0.83),0.01 (-0.36 - 0.39),0.51 (0.19 - 0.72),-0.01 (-0.39 - 0.35),0.08 (-0.32 - 0.46),0.47 (0.18 - 0.7)
not.birds_all,richness,0.43 (0.13 - 0.68),0.37 (0.06 - 0.66),0.59 (0.23 - 0.79),0.31 (0.03 - 0.59),0.17 (-0.23 - 0.52),0.21 (-0.1 - 0.53),0.14 (-0.2 - 0.45),0.53 (0.25 - 0.75),-0.05 (-0.44 - 0.31),0.32 (-0.02 - 0.61),-0.11 (-0.49 - 0.22),0.14 (-0.18 - 0.49),-0.01 (-0.35 - 0.37)
birds_day,richness,0.32 (-0.07 - 0.61),0.3 (-0.09 - 0.6),0.36 (-0.03 - 0.62),0.67 (0.54 - 0.8),0.24 (-0.12 - 0.55),0.59 (0.4 - 0.74),0.7 (0.49 - 0.83),0.64 (0.47 - 0.76),0.2 (-0.21 - 0.49),0.49 (0.17 - 0.67),0.11 (-0.33 - 0.47),-0.04 (-0.41 - 0.36),0.53 (0.22 - 0.74)
frogs_night,richness,0.41 (0.04 - 0.63),0.41 (0.08 - 0.68),0.41 (0.12 - 0.67),0.61 (0.41 - 0.77),0.02 (-0.38 - 0.38),0.33 (0.01 - 0.59),0.2 (-0.12 - 0.56),0.58 (0.36 - 0.74),-0.23 (-0.52 - 0.05),0.52 (0.19 - 0.72),-0.18 (-0.51 - 0.07),0.26 (0.01 - 0.6),0.29 (-0.14 - 0.63)
all_all,shannon,0.5 (0.23 - 0.71),0.47 (0.2 - 0.71),0.37 (0.01 - 0.67),0.47 (0.14 - 0.67),0.42 (0.03 - 0.66),0.33 (0.04 - 0.58),0.28 (-0.05 - 0.56),0.52 (0.22 - 0.73),-0.19 (-0.57 - 0.2),0.19 (-0.21 - 0.48),-0.2 (-0.59 - 0.17),0.23 (-0.14 - 0.59),0.07 (-0.23 - 0.38)
not.birds_all,shannon,0.34 (0.03 - 0.61),0.29 (-0.06 - 0.58),0.33 (-0.02 - 0.62),0.2 (-0.17 - 0.51),0.19 (-0.22 - 0.5),0.11 (-0.25 - 0.44),0.08 (-0.27 - 0.42),0.26 (-0.14 - 0.57),-0.21 (-0.57 - 0.12),0.04 (-0.31 - 0.39),-0.16 (-0.54 - 0.19),0.15 (-0.2 - 0.54),-0.21 (-0.53 - 0.15)
birds_day,shannon,0.38 (0.05 - 0.63),0.36 (0.03 - 0.62),0.3 (-0.02 - 0.57),0.45 (0.19 - 0.65),0.42 (0.05 - 0.67),0.37 (0.06 - 0.6),0.53 (0.23 - 0.76),0.46 (0.2 - 0.67),0.07 (-0.24 - 0.39),0.49 (0.23 - 0.67),0.03 (-0.31 - 0.39),0.03 (-0.31 - 0.37),0.3 (-0.01 - 0.57)
frogs_night,shannon,0.31 (0.01 - 0.61),0.32 (0.02 - 0.65),0.24 (-0.13 - 0.57),0.43 (0.13 - 0.66),-0.07 (-0.41 - 0.3),0.32 (-0.01 - 0.62),0.13 (-0.17 - 0.46),0.39 (0.07 - 0.63),-0.17 (-0.44 - 0.12),0.34 (-0.05 - 0.57),-0.12 (-0.43 - 0.18),0.17 (-0.12 - 0.51),0.22 (-0.22 - 0.56)
all_all,count,0.11 (-0.24 - 0.44),0.16 (-0.21 - 0.53),0.11 (-0.24 - 0.4),0.67 (0.4 - 0.82),0.17 (-0.19 - 0.49),0.71 (0.45 - 0.85),0.33 (-0.03 - 0.62),0.5 (0.15 - 0.7),0.29 (-0.04 - 0.61),0.5 (0.15 - 0.71),0.25 (-0.1 - 0.58),-0.18 (-0.53 - 0.21),0.59 (0.31 - 0.78)
not.birds_all,count,0.13 (-0.25 - 0.45),0.12 (-0.29 - 0.48),0.29 (-0.05 - 0.54),0.43 (0.04 - 0.66),-0.01 (-0.4 - 0.35),0.5 (0.13 - 0.7),0.29 (-0.07 - 0.59),0.46 (0.03 - 0.68),0.38 (0 - 0.68),0.62 (0.33 - 0.8),0.3 (-0.08 - 0.62),-0.23 (-0.59 - 0.19),0.4 (0.08 - 0.67)
birds_day,count,0.27 (-0.13 - 0.61),0.27 (-0.13 - 0.62),0.34 (-0.06 - 0.57),0.75 (0.52 - 0.88),0.12 (-0.24 - 0.47),0.71 (0.44 - 0.85),0.67 (0.41 - 0.82),0.69 (0.45 - 0.82),0.14 (-0.26 - 0.47),0.32 (-0.05 - 0.56),0.04 (-0.4 - 0.42),0.03 (-0.35 - 0.45),0.57 (0.27 - 0.76)
frogs_night,count,0.54 (0.23 - 0.72),0.48 (0.19 - 0.74),0.42 (0.13 - 0.68),0.75 (0.57 - 0.88),0.21 (-0.16 - 0.53),0.32 (0 - 0.61),0.34 (-0.04 - 0.66),0.69 (0.47 - 0.84),-0.35 (-0.62 - 0.01),0.6 (0.3 - 0.79),-0.24 (-0.54 - 0.07),0.33 (0.01 - 0.65),0.46 (0.09 - 0.72)
