Taxa,Measure,Mean,Index,rf_obs_pred
all_all,richness,0.68,SptDensity,0.76
all_all,shannon,0.55,Activity,0.63
all_all,count,0.71,AcousticComplexity,0.81
not.birds_all,richness,0.59,HighFreqCover,0.72
not.birds_all,shannon,0.44,HighFreqCover,0.6
not.birds_all,count,0.59,NDSI,0.64
birds_day,richness,0.69,ClusterCount,0.78
birds_day,shannon,0.55,ClusterCount,0.72
birds_day,count,0.78,MidFreqCover,0.83
frogs_night,richness,0.61,MidFreqCover,0.71
frogs_night,shannon,0.43,MidFreqCover,0.59
frogs_night,count,0.75,MidFreqCover,0.76
